Tweet_ID,Created_at,screen_name,Texto,Fecha_Extracción,Hora_Extracción,atropellado,volcadura,fallecimiento,ciclista,motociclista,peaton,Choque,alcaldia,Aceptado
1548170510873219072,2022-07-15 23:59:48-05:00,CruzRoja_CDMX,un  accidente de  transito en   desierto de  nubia    santa  lucia   azcapotzalco fue reportado a la  cruzrojamexicana  te recomendamos tener cuidado al transitar en esa zona ,7/16/2022,0:59:03,0,0,0,0,0,0,1,azcapotzalco,Si
1548170575993905152,2022-07-16 00:00:03-05:00,OVIALCDMX,23 59  precaucionvial   servicios de emergencia se dirigen a calz  chabacano a la altura de calle ramon fabie  por percance  ,7/16/2022,0:59:03,0,0,0,0,0,0,1,,Si
1548176628924133378,2022-07-16 00:24:06-05:00,CruzRoja_CDMX,vehiculos de  emergencia y la  cruzrojamexicana acuden a  av  chapultepec   san  miguel  chapultepec i  seccion    miguel  hidalgo a auxiliar por un  accidente de  transito ,7/16/2022,0:59:03,0,0,0,0,0,0,1,,Si
1548180182275485698,2022-07-16 00:38:13-05:00,MrElDiablo8,motociclista murio tras ser embestido en circuito interior  via  milenio ,7/16/2022,0:59:03,1,0,1,0,1,0,0,,No
1548183577216503809,2022-07-16 00:51:43-05:00,CruzRoja_CDMX,en la direccion   desierto de los  leones   san  bartolo  ameyalco    alvaro  obregon un vehiculo de la  cruzrojamexicana atiende un  accidente de  transito  evita esas vialidades ,7/16/2022,0:59:03,0,0,0,0,0,0,1,,Si
1548189072996175873,2022-07-16 01:13:33-05:00,OVIALCDMX,01 13  precaucionvial   servicios de emergencia se dirigen al segundo piso del anillo periferico a la altura de barranca del muerto con direccion al sur  por percance  ,7/16/2022,1:59:02,0,0,0,0,0,0,1,,Si
1548191201878102021,2022-07-16 01:22:01-05:00,CruzRoja_CDMX, cruzrojamexicana esta atendiendo un  accidente de  transito en  av  vasco de  quiroga    santa fe    alvaro  obregon con una  ambulancia donada con tus aportaciones ,7/16/2022,1:59:02,0,0,0,0,0,0,1,,Si
1548196601927045120,2022-07-16 01:43:28-05:00,OVIALCDMX,01 42  precaucionvial   servicios de emergencia laboran en av  luis cabrera a la altura de av  san jeronimo  por volcadura  ,7/16/2022,1:59:02,0,1,0,0,0,0,0,,Si
1548197861300457472,2022-07-16 01:48:28-05:00,OVIALCDMX,01 48  precaucionvial   servicios de emergencia se dirigen a la av  insurgentes sur y rey cuauhtemoc  por percance  ,7/16/2022,1:59:02,0,0,0,0,0,0,1,cuauhtemoc,Si
1548198996711133189,2022-07-16 01:52:59-05:00,OVIALCDMX,01 52  precaucionvial   servicios de emergencia se dirigen a viaducto miguel aleman y dr  jose maria vertiz  por percance  ,7/16/2022,1:59:02,0,0,0,0,0,0,1,,Si
1548199459057590272,2022-07-16 01:54:49-05:00,RaulGtzNR,colonia miguel hidalgo en tlalpan  insurgentes y corregidora  frente al metrobus corregidora  choque con lesionados   c5 cdmx  ucs gcdmx apoyo de unidad medica ,7/16/2022,1:59:02,0,0,0,0,0,0,1,miguel hidalgo,Si
1548203930848399362,2022-07-16 02:12:36-05:00,CruzRoja_CDMX,una  ambulancia de la  cruzrojamexicana labora atendiendo a un paciente herido por un  accidente de  transito en   puente de  guerra    tierra  nueva   azcapotzalco ,7/16/2022,2:59:03,0,0,0,0,0,0,1,azcapotzalco,Si
1548210027885764611,2022-07-16 02:36:49-05:00,OVIALCDMX,02 36  precaucionvial   por percance en av  ceylan a la altura de av maravillas  col  industrial vallejo  servicios de emergencia acuden al lugar  ,7/16/2022,2:59:03,0,0,0,0,0,0,1,,Si
1548213389817589763,2022-07-16 02:50:11-05:00,CruzRoja_CDMX,una  ambulancia de la  cruzrojamexicana labora atendiendo a un paciente herido por un  accidente de  transito en   lago  superior    torre  blanca    miguel  hidalgo ,7/16/2022,2:59:03,0,0,0,0,0,0,1,,Si
1548213689102192642,2022-07-16 02:51:22-05:00,OVIALCDMX,02 50  precaucionvial   por percance en calz  de tlalpan con direccion al sur a la altura de av  rio churubusco  col  san diego churubusco  servicios de emergencia acuden al lugar  ,7/16/2022,2:59:03,0,0,0,0,0,0,1,tlalpan,Si
1548217740812382208,2022-07-16 03:07:28-05:00,OVIALCDMX,03 07  precaucionvial   por volcadura en geografos a la altura de fisicos  col  el sifon  servicios de emergencia se aproximan al lugar  ,7/16/2022,3:59:02,0,1,0,0,0,0,0,,Si
1548219072688533504,2022-07-16 03:12:46-05:00,OVIALCDMX,03 12  precaucionvial   por volcadura en viaducto rio de la piedad a la altura de sur 69  col  viaducto piedad  servicios de emergencia se dirigen al lugar  ,7/16/2022,3:59:02,0,1,0,0,0,0,0,,Si
1548221674528460800,2022-07-16 03:23:06-05:00,C5_CDMX,servicios de emergencia trabajan en volcadura sobre geografos y fisicos  colonia el sifon   alc iztapalapa  911cdmx  c5 ,7/16/2022,3:59:02,0,1,0,0,0,0,0,iztapalapa,No
1548221901666848771,2022-07-16 03:24:00-05:00,OVIALCDMX,03 23  precaucionvial   por percance en av  san lorenzo a la altura de monzon  col  cerro de la estrella  servicios de emergencia acuden al lugar  ,7/16/2022,3:59:02,0,0,0,0,0,0,1,,Si
1548223572014874633,2022-07-16 03:30:38-05:00,C5_CDMX,servicios de emergencia acuden a volcadura sobre viaducto rio de la piedad y sur 69  colonia viaducto piedad   iztacalcoal ante cualquier emergencia  911cdmx   c5 ,7/16/2022,3:59:02,0,1,0,0,0,0,0,iztacalco,No
1548224762165338112,2022-07-16 03:35:22-05:00,OVIALCDMX,03 35  precaucionvial   por percance en av  cuitlahuac a l altura de eje 3 norte camarones  col  san bernabe  servicios de emergencia al lugar  ,7/16/2022,3:59:02,0,0,0,0,0,0,1,tlahuac,Si
1548224986774614017,2022-07-16 03:36:16-05:00,MrElDiablo8,asi la  volcadura en viaducto rio de la piedad a la altura de sur 69  en la col  viaducto piedad   video  ,7/16/2022,3:59:02,0,1,0,0,0,0,0,,No
1548225831087919106,2022-07-16 03:39:37-05:00,MrElDiablo8, bomberos cdmx  ssc cdmx y servicios de emergencia atienden la volcadura en viaducto rio de la piedad a la altura de sur 69  col  viaducto piedad   video  ,7/16/2022,3:59:02,0,1,0,0,0,0,0,,No
1548225957546184711,2022-07-16 03:40:07-05:00,OVIALCDMX,03 40   precaucionvial   por percance en calz  san antonio abad a la altura de cda  fray servando  col  transito  servicios de emergencia se aproximan al lugar  ,7/16/2022,3:59:02,0,0,0,0,0,0,1,,Si
1548229763033993216,2022-07-16 03:55:14-05:00,CruzRoja_CDMX, cruzrojamexicana esta ayudando en un  accidente de  transito en  av  santa  lucia    santa  maria  nonoalco    alvaro  obregon ten cuidado al pasar por el lugar ,7/16/2022,3:59:02,0,0,0,0,0,0,1,,Si
1548230760074620928,2022-07-16 03:59:12-05:00,OVIALCDMX,03 59  precaucionvial   por volcadura en anillo periferico a la altura de av  presidente masaryk  col  lomas de chapultepec iii seccion  servicios de emergencia acuden al lugar  ,7/16/2022,4:59:03,0,1,0,0,0,0,0,,Si
1548231694309683200,2022-07-16 04:02:55-05:00,CruzRoja_CDMX,una  ambulancia de  cruzrojamexicana esta atendiendo un  accidente de  transito en  periferico    polanco i  seccion    miguel  hidalgo extrema precauciones al pasar por ese lugar ,7/16/2022,4:59:03,0,0,0,0,0,0,1,,Si
1548234610265296897,2022-07-16 04:14:30-05:00,OVIALCDMX,04 14  precaucionvial   por volcadura en av  benjamin franklin a la altura de av  patriotismo  col  escandon  servicios de emergencia acuden al lugar  ,7/16/2022,4:59:03,0,1,0,0,0,0,0,,SI
1548235832573583360,2022-07-16 04:19:21-05:00,CruzRoja_CDMX,una  ambulancia de  cruzrojamexicana esta atendiendo un  accidente de  transito en   benjamin  franklin    escandon i  seccion    miguel  hidalgo extrema precauciones al pasar por ese lugar ,7/16/2022,4:59:03,0,0,0,0,0,0,1,,No
1548238015775924226,2022-07-16 04:28:02-05:00,MrElDiablo8, bomberos cdmx  cruzroja cdmx y  ssc cdmx atienden volcadura en periferico y palmas   alcaldiamhmx   precauciones  video ,7/16/2022,4:59:03,0,1,0,0,0,0,0,miguel hidalgo,No
1548240524364001281,2022-07-16 04:38:00-05:00,OVIALCDMX,04 37  precaucionvial   por volcadura en circuito interior con direccion al sur a la altura de oriente 33  col  moctezuma 2da seccion  servicios de emergencia acuden al lugar  ,7/16/2022,4:59:03,0,1,0,0,0,0,0,0,Si
1548242583746334721,2022-07-16 04:46:11-05:00,OVIALCDMX,04 46  precaucionvial  l   por percance en calz  ignacio zaragoza a la altura del puente de la concordia  servicios de se dirigen al lugar  ,7/16/2022,4:59:03,0,0,0,0,0,0,1,,Si
1548244545158057984,2022-07-16 04:53:59-05:00,CruzRoja_CDMX,en la direccion  cuauhtemoc    progreso  tizapan    alvaro  obregon un vehiculo de la  cruzrojamexicana atiende un  accidente de  transito  evita esas vialidades ,7/16/2022,4:59:03,0,0,0,0,0,0,1,cuauhtemoc,Si
1548245742065659904,2022-07-16 04:58:44-05:00,OVIALCDMX,04 58  precaucionvial   por percance en jose sotero castaÃ±eda a la altura de calz  chabacano  col  vista alegre  servicios de emergencia acuden al lugar  ,7/16/2022,4:59:03,0,0,0,0,0,0,1,,Si
1548246972703772674,2022-07-16 05:03:37-05:00,CruzRoja_CDMX, cruzrojamexicana esta atendiendo un  accidente de  transito en   marina  nacional    anahuac i  seccion    miguel  hidalgo con una  ambulancia donada con tus aportaciones ,7/16/2022,5:59:02,0,0,0,0,0,0,1,,Si
1548247143017619460,2022-07-16 05:04:18-05:00,CruzRoja_CDMX,en la direccion   marina  nacional    anahuac i  seccion    miguel  hidalgo un vehiculo de la  cruzrojamexicana atiende un  accidente de  transito  evita esas vialidades ,7/16/2022,5:59:02,0,0,0,0,0,0,1,,Si
1548248699146362883,2022-07-16 05:10:29-05:00,OVIALCDMX,05 10  precaucionvial   por percance en av  marina nacional a la altura de lago zirahuen  col  anahuac i seccion  servicios de emergencia se dirigen al lugar  ,7/16/2022,5:59:02,0,0,0,0,0,0,1,,Si
1548249890500665344,2022-07-16 05:15:13-05:00,OVIALCDMX,05 15  precaucionvial   servicios de emergencia acuden a calz  de tlalpan a la altura de viaducto  col  algarin  por percance  ,7/16/2022,5:59:02,0,0,0,0,0,0,1,cuauhtemoc,Si
1548250491624165376,2022-07-16 05:17:36-05:00,CruzRoja_CDMX,una  ambulancia de  cruzrojamexicana esta atendiendo un  accidente de  transito en  periferico    lomas de  sotelo    miguel  hidalgo extrema precauciones al pasar por ese lugar ,7/16/2022,5:59:02,0,0,0,0,0,0,1,miguel hidalgo,Si
1548252344529276928,2022-07-16 05:24:58-05:00,C5_CDMX, precaucionservicios de emergencia laborando en volcadura sobre av  marina nacional y lago zirahuen  colonia veronica anzures   alcaldiamhmx  911cdmx  c5 ,7/16/2022,5:59:02,0,1,0,0,0,0,0,miguel hidalgo,Si
1548253982908248065,2022-07-16 05:31:29-05:00,C5_CDMX,servicios de emergencia trabajan en volcadura sobre autopista mexico puebla y calz  ermita iztapalapa  colonia lomas de zaragoza   alc iztapalapa  911cdmx  c5,7/16/2022,5:59:02,0,1,0,0,0,0,0,iztapalapa,Si
1548255514923896835,2022-07-16 05:37:34-05:00,OVIALCDMX,05 37  precaucionvial   por percance en av  gral  felipe angeles a la altura de apango  col  gral felipe berriozabal  servicios de emergencia se dirigen al lugar  ,7/16/2022,5:59:02,0,0,0,0,0,0,1,,Si
1548257154796101632,2022-07-16 05:44:05-05:00,OVIALCDMX,05 43  precaucionvial   servicios de emergencia acuden a eje central lazaro cardenas a la altura de av  montevideo  col  san bartolo atepehuacan  por percance  ,7/16/2022,5:59:02,0,0,0,0,0,0,1,,Si
